Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
943,29120,071.0 086.0,19-5001HO-HY-008-1030-07100860-0027A-3,27,13.67,32.97,5.49,24.688,92.8,239.2761,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.48,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,27.0,13.67,13.67,32.97,24.68,325.2,0.08,5.49,92.8,,0.48,,,,,,27.0,,,,,,,,
876,26975,051.0 085.0,19-4911HO-HY-314-0154-05100850-0024A-3,24,12.99,33.17,5.76,24.979,96.1,250.9726,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.9,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,24.0,12.99,12.99,33.17,24.97,297.5,0.07,5.76,96.1,,0.9,,,,,,24.0,,,,,,,,
643,19590,092.0 117.0,19-4909CR-HY-257-1624-09201170-0000B-3,0,19.7,33.42,,23.636,,,,3.0,1.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,0.51,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,19.7,19.7,33.42,23.63,424.8,0.0,,,,0.51,,,,,,0.0,,,,,,,,
1089,33616,050.0 130.0,19-5003BD-HY-070-1218-05001300-1044A-3,1044,3.45,34.45,,27.411,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1044.0,3.45,3.37,34.45,27.41,74.5,1.47,,,,,,,,,,1053.0,,,,,,,,
296,8919,061.0 087.0,19-4906CR-HY-155-1518-06100870-0846A-3,846,4.09,34.34,0.44,27.259,6.0,19.12896,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,846.0,4.09,4.03,34.34,27.25,88.5,1.19,0.44,6.0,,,,,,,,853.0,,,,,,,,
143,4341,112.0 098.0,19-4904NS-HY-096-0336-11200980-0141A-3,141,10.55,33.57,4.73,25.745,75.1,205.9399,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,141.0,10.55,10.53,33.57,25.74,227.2,0.39,4.73,75.1,,,,,,,,142.0,,,,,,,,
355,10724,122.0 053.0,19-4906HO-HY-159-0024-12200530-0040A-3,40,14.38,33.53,5.05,24.974,86.9,220.0378,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,40.0,14.38,14.37,33.53,24.97,298.5,0.13,5.05,86.9,,,,,,,,40.0,,,,,,,,
371,11212,030.0 074.0,19-4907BD-HY-189-0530-03000740-1100A-7,1100,3.37,34.447,,27.417,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1100.0,3.37,3.29,34.447,27.41,74.2,1.43,,,,,,,,,,1110.0,,,,,,,,
921,28367,072.0 060.0,19-5001CR-HY-007-2000-07200600-0066A-3,66,9.85,33.55,3.88,25.847,60.6,168.9149,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,1.88,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,66.0,9.85,9.84,33.55,25.84,215.7,0.16,3.88,60.6,,1.88,,,,,,66.0,,,,,,,,
382,11537,016.0 096.0,19-4907BD-HY-193-1300-01600960-0700A-7,700,3.79,34.165,0.74,27.148,10.1,32.17492,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.14,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,700.0,3.79,3.74,34.165,27.14,96.9,1.11,0.74,10.1,,3.14,,,,,,706.0,,,,,,,,
799,24618,089.0 045.0,19-4910HO-HY-293-0430-08900450-0250A-7,250,7.98,34.164,1.34,26.624,20.1,58.29242,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.38,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,7.98,7.95,34.164,26.62,145.0,0.53,1.34,20.1,,2.38,,,,,,251.0,,,,,,,,
35,1056,092.0 108.0,19-4903NS-HY-061-2354-09201080-0250A-7,250,7.57,33.89,,26.468,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,7.57,7.55,33.89,26.46,159.5,0.56,,,,,,,,,,251.0,,,,,,,,
681,20830,069.0 144.0,19-4909HO-HY-258-1506-06901440-0150A-7,150,13.31,33.714,5.5,25.339,92.6,239.5598,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,0.45,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,13.31,13.29,33.714,25.33,266.6,0.5,5.5,92.6,,0.45,,,,,,151.0,,,,,,,,
667,20399,060.0 097.0,19-4909HO-HY-253-1242-06000970-0900A-7,900,4.15,34.407,0.5,27.306,6.9,21.73646,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.19,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,900.0,4.15,4.08,34.407,27.3,84.7,1.42,0.5,6.9,,3.19,,,,,,907.0,,,,,,,,
50,1498,111.0 038.0,19-4903NS-HY-066-1718-11100380-0010A-7,10,14.59,33.664,,25.031,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,14.59,14.59,33.664,25.03,292.1,0.02,,,,,,,,,,10.0,,,,,,,,
648,19752,092.0 068.0,19-4909CR-HY-258-1954-09200680-0020A-7,20,17.63,33.412,5.52,24.148,101.2,240.7105,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,0.57,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,20.0,17.63,17.63,33.412,24.14,376.6,0.07,5.52,101.2,,0.57,,,,,,20.0,,,,,,,,
831,25614,122.0 053.0,19-4911CR-HY-312-2054-12200530-0250A-7,250,9.03,34.232,0.9,26.517,13.9,39.15571,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.48,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,9.03,9.0,34.232,26.51,155.8,0.56,0.9,13.9,,2.48,,,,,,251.0,,,,,,,,
419,12626,111.0 068.0,19-4907CR-HY-189-1300-11100680-0048A-3,48,11.48,33.53,4.55,25.546,73.7,198.1413,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,1.25,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,48.0,11.48,11.47,33.53,25.54,244.0,0.16,4.55,73.7,,1.25,,,,,,48.0,,,,,,,,
579,17574,044.0 049.0,19-4909BD-HY-248-0400-04400490-0800A-7,800,4.38,34.327,0.44,27.218,6.1,19.12973,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.01,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,800.0,4.38,4.32,34.327,27.21,92.5,1.08,0.44,6.1,,3.01,,,,,,807.0,,,,,,,,
366,11065,024.0 120.0,19-4907BD-HY-187-1524-02401200-1000A-7,1000,3.36,34.402,0.34,27.381,4.6,14.77972,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1000.0,3.36,3.29,34.402,27.38,76.7,1.4,0.34,4.6,,,,,,,,1009.0,,,,,,,,
355,10732,122.0 053.0,19-4906HO-HY-159-0024-12200530-0143A-3,143,10.7,34.23,1.38,26.233,22.1,60.05537,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,143.0,10.7,10.68,34.23,26.23,181.0,0.38,1.38,22.1,,,,,,,,144.0,,,,,,,,
518,15716,112.0 078.0,19-4908CR-HY-221-2212-11200780-1148A-3,1148,3.52,34.52,0.84,27.461,11.4,36.51175,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,2.93,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1148.0,3.52,3.44,34.52,27.46,70.9,1.55,0.84,11.4,,2.93,,,,,,1158.0,,,,,,,,
181,5477,071.0 066.0,19-4905CR-HY-127-2236-07100660-0050A-3,50,11.84,33.19,6.25,25.215,101.8,272.26,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.48,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,11.84,11.83,33.19,25.21,275.5,0.14,6.25,101.8,,0.48,,,,,,50.0,,,,,,,,
635,19351,102.0 084.0,19-4909CR-HY-255-1442-10200840-0700A-7,700,4.69,34.375,0.54,27.221,7.5,23.47733,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.5,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,700.0,4.69,4.63,34.375,27.22,91.7,1.21,0.54,7.5,,3.5,,,,,,705.0,,,,,,,,
978,30205,050.0 110.0,19-5002BD-HY-049-1200-05001100-0491A-3,491,5.04,34.13,,26.986,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,491.0,5.04,5.0,34.13,26.98,111.9,0.86,,,,,,,,,,495.0,,,,,,,,
780,24021,066.7 053.0,19-4910HO-HY-285-0254-06670530-0328A-3,328,6.56,34.04,2.09,26.726,30.4,90.90974,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,2.54,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,328.0,6.56,6.53,34.04,26.72,135.7,0.65,2.09,30.4,,2.54,,,,,,330.0,,,,,,,,
761,23397,092.0 078.0,19-4910CR-HY-288-0618-09200780-0030A-7,30,16.13,33.444,4.98,24.523,88.7,217.0833,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,30.0,16.13,16.13,33.444,24.52,341.1,0.1,4.98,88.7,,,,,,,,30.0,,,,,,,,
738,22665,112.0 078.0,19-4910CR-HY-282-1124-11200780-0064A-3,64,15.84,33.77,5.29,24.841,93.8,230.5249,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,64.0,15.84,15.83,33.77,24.84,312.0,0.23,5.29,93.8,,,,,,,,64.0,,,,,,,,
912,28099,070.0 095.0,19-5001CR-HY-005-2348-07000950-0300A-7,300,7.69,34.093,1.48,26.611,22.1,64.38349,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.9,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,300.0,7.69,7.66,34.093,26.61,146.9,0.65,1.48,22.1,,2.9,,,,,,302.0,,,,,,,,
302,9096,056.7 146.0,19-4906CR-HY-157-0506-05671460-0194A-3,194,8.69,33.6,3.62,26.074,55.1,157.5609,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,194.0,8.69,8.67,33.6,26.07,196.4,0.55,3.62,55.1,,,,,,,,195.0,,,,,,,,
321,9687,092.0 108.0,19-4906HO-HY-149-2200-09201080-0279A-3,279,7.6,34.05,,26.59,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,279.0,7.6,7.57,34.05,26.59,148.5,0.66,,,,,,,,,,281.0,,,,,,,,
241,7291,125.0 102.0,19-4905NS-HY-122-1536-12501020-0360A-3,360,8.51,34.47,0.42,26.786,6.4,18.26788,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,3.18,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,360.0,8.51,8.47,34.47,26.78,132.2,0.77,0.42,6.4,,3.18,,,,,,362.0,,,,,,,,
691,21176,082.0 057.0,19-4909HO-HY-261-1618-08200570-1100A-7,1100,3.63,34.441,0.8,27.387,10.9,34.7756,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1100.0,3.63,3.55,34.441,27.38,77.7,1.4,0.8,10.9,,,,,,,,1110.0,,,,,,,,
732,22455,126.0 132.0,19-4910CR-HY-280-1248-12601320-0010A-3,10,22.13,34.49,4.54,23.796,91.1,198.0437,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,22.13,22.13,34.49,23.79,409.9,0.04,4.54,91.1,,,,,,,,10.0,,,,,,,,
481,14570,035.0 037.0,19-4908BD-HY-221-2036-03500370-0500A-7,500,5.5,34.146,0.68,26.945,9.6,29.57198,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.23,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,5.5,5.46,34.146,26.94,116.4,0.74,0.68,9.6,,3.23,,,,,,504.0,,,,,,,,
723,22178,122.0 044.0,19-4910CR-HY-278-1524-12200440-0023A-3,23,17.94,33.66,2.64,24.263,48.8,115.1095,,3.0,2.0,,2.0,,9.0,8.0,,8.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,23.0,17.94,17.94,33.66,24.26,365.8,0.08,2.64,,,,,,,,,23.0,,,,,,,,
619,18832,113.3 137.0,19-4909CR-HY-251-0354-11331370-1200A-7,1200,3.5,34.562,0.75,27.497,10.1,32.59864,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.64,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1200.0,3.5,3.41,34.562,27.49,68.0,1.62,0.75,10.1,,3.64,,,,,,1210.0,,,,,,,,
657,20049,050.0 104.0,19-4909HO-HY-250-1454-05001040-0000B-3,0,18.8,33.04,5.62,23.575,105.2,245.2084,,3.0,1.0,,2.0,,9.0,,,,,9.0,,9.0,0.51,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,18.8,18.8,33.04,23.57,430.6,0.0,5.62,105.2,,0.51,,,,,,0.0,,,,,,,,
994,30716,090.0 053.0,19-5002CR-HY-038-0548-09000530-0795A-3,795,4.6,34.42,0.37,27.268,5.1,16.08558,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,3.14,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,795.0,4.6,4.54,34.42,27.26,88.2,1.1,0.37,5.1,,3.14,,,,,,801.0,,,,,,,,
479,14493,033.3 055.0,19-4908BD-HY-221-0248-03330550-0075A-7,75,8.0,32.92,6.38,25.642,95.3,277.8073,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.22,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,8.0,7.99,32.92,25.64,235.0,0.27,6.38,95.3,,1.22,,,,,,75.0,,,,,,,,
295,8886,062.0 068.0,19-4906CR-HY-155-0206-06200680-0400A-7,400,5.74,34.113,0.88,26.888,12.6,38.27175,,7.0,3.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,5.74,5.71,34.113,26.88,120.8,0.72,0.88,12.6,,,,,,,,403.0,,,,,,,,
373,11258,033.3 055.0,19-4907BD-HY-189-1936-03330550-0150A-7,150,8.35,33.513,,26.057,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,8.35,8.33,33.513,26.05,197.1,0.41,,,,,,,,,,151.0,,,,,,,,
589,17890,024.0 120.0,19-4909BD-HY-251-1924-02401200-0966A-3,966,3.44,34.34,2.56,27.324,34.5,111.2887,,3.0,2.0,8.0,2.0,8.0,9.0,,8.0,8.0,,9.0,,9.0,2.73,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,966.0,3.44,,34.34,,,1.44,2.56,34.6,,2.73,,,,,,975.0,,,,,,,,
225,6806,036.7 115.0,19-4905HO-HY-128-1830-03671150-0700A-7,700,4.28,34.284,0.58,27.193,8.0,25.21707,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,700.0,4.28,4.23,34.284,27.19,93.6,1.14,0.58,8.0,,,,,,,,706.0,,,,,,,,
101,3111,081.0 117.0,19-4904HO-HY-093-1512-08101170-1400A-7,1400,2.95,34.485,0.88,27.488,11.7,38.2494,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1400.0,2.95,2.85,34.485,27.48,68.5,1.83,0.88,11.7,,,,,,,,1413.0,,,,,,,,
60,1818,113.3 137.0,19-4903NS-HY-069-0512-11331370-0075A-7,75,16.59,33.893,,24.764,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,16.59,16.58,33.893,24.76,319.7,0.24,,,,,,,,,,75.0,,,,,,,,
571,17339,080.0 137.0,19-4908HO-HY-232-0430-08001370-0163A-3,163,9.24,33.6,3.84,25.987,59.2,167.1507,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,1.49,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,163.0,9.24,9.22,33.6,25.98,204.2,0.5,3.84,59.2,,1.49,,,,,,164.0,,,,,,,,
620,18879,113.3 127.0,19-4909CR-HY-251-1130-11331270-1200A-7,1200,3.54,34.537,0.93,27.473,12.6,40.42325,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.61,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1200.0,3.54,3.45,34.537,27.47,70.3,1.69,0.93,12.6,,3.61,,,,,,1210.0,,,,,,,,
750,23048,102.0 094.0,19-4910CR-HY-285-1136-10200940-0010A-3,10,18.66,33.57,5.4,24.016,101.1,235.508,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,18.66,18.66,33.57,24.01,388.9,0.03,5.4,101.1,,,,,,,,10.0,,,,,,,,
161,4868,092.0 137.0,19-4904NS-HY-101-1136-09201370-0050A-7,50,14.91,33.713,5.85,25.002,101.8,254.8883,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,14.91,14.9,33.713,25.0,296.1,0.15,5.85,101.8,,,,,,,,50.0,,,,,,,,
302,9105,056.7 146.0,19-4906CR-HY-157-0506-05671460-0600A-7,600,4.83,34.148,0.49,27.025,6.8,21.30756,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,600.0,4.83,4.78,34.148,27.02,109.2,1.12,0.49,6.8,,,,,,,,604.0,,,,,,,,
1106,34144,070.0 090.0,19-5003BD-HY-095-1924-07000900-0400A-7,400,6.31,34.145,0.86,26.842,12.4,37.40361,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,6.31,6.27,34.145,26.84,125.6,0.74,0.86,12.4,,,,,,,,403.0,,,,,,,,
254,7674,111.0 048.0,19-4905NS-HY-128-0148-11100480-0030A-7,30,14.96,33.618,5.14,24.917,89.5,223.9717,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,0.33,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,30.0,14.96,14.96,33.618,24.91,303.6,0.09,5.14,89.5,,0.33,,,,,,30.0,,,,,,,,
638,19428,103.3 111.0,19-4909CR-HY-256-0530-10331110-0098A-3,98,15.07,33.75,5.52,24.997,96.4,240.5111,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.49,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,98.0,15.07,15.06,33.75,24.99,298.1,0.34,5.52,96.4,,0.49,,,,,,98.0,,,,,,,,
186,5629,061.0 087.0,19-4905CR-HY-129-2106-06100870-0094A-3,94,9.14,33.39,4.82,25.837,74.1,209.8396,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,1.58,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,94.0,9.14,9.13,33.39,25.83,217.0,0.26,4.82,74.1,,1.58,,,,,,94.0,,,,,,,,
145,4402,112.0 078.0,19-4904NS-HY-096-1536-11200780-0075A-7,75,14.98,33.702,5.62,24.979,98.0,244.8725,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,14.98,14.97,33.702,24.97,299.1,0.23,5.62,98.0,,,,,,,,75.0,,,,,,,,
373,11253,033.3 055.0,19-4907BD-HY-189-1936-03330550-0075A-7,75,9.15,32.913,,25.462,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,9.15,9.14,32.913,25.46,252.2,0.24,,,,,,,,,,75.0,,,,,,,,
889,27385,062.0 068.0,19-4911HO-HY-318-0942-06200680-0203A-3,203,7.02,33.96,2.31,26.6,33.9,100.4915,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,2.32,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,203.0,7.02,7.0,33.96,26.6,146.0,0.39,2.31,33.9,,2.32,,,,,,204.0,,,,,,,,
891,27438,066.7 053.0,19-4911HO-HY-320-0400-06670530-0075A-7,75,10.41,33.614,3.73,25.802,59.0,162.3918,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.72,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,10.41,10.4,33.614,25.8,220.2,0.18,3.73,59.0,,1.72,,,,,,75.0,,,,,,,,
297,8932,060.0 097.0,19-4906CR-HY-155-2142-06000970-0050A-7,50,11.79,32.939,4.61,25.03,74.9,200.8552,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,11.79,11.78,32.939,25.03,293.2,0.16,4.61,74.9,,,,,,,,50.0,,,,,,,,
720,22099,008.0 070.0,19-4910BD-HY-289-2024-00800700-0069A-3,69,7.28,32.68,6.21,25.555,91.0,270.4278,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,1.22,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,69.0,7.28,7.27,32.68,25.55,243.0,0.2,6.21,91.0,,1.22,,,,,,69.0,,,,,,,,
351,10618,124.0 093.0,19-4906HO-HY-158-0236-12400930-0700A-7,700,5.56,34.408,0.37,27.147,5.3,16.08747,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,700.0,5.56,5.5,34.408,27.14,100.1,1.24,0.37,5.3,,,,,,,,705.0,,,,,,,,
482,14583,028.0 024.0,19-4908BD-HY-222-1324-02800240-0050A-3,50,8.52,32.92,5.38,25.564,81.3,234.2816,,3.0,2.0,,2.0,,9.0,,,,,9.0,,9.0,1.76,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,8.52,8.51,32.92,25.56,242.0,0.16,5.38,81.3,,1.76,,,,,,50.0,,,,,,,,
387,11671,009.0 062.0,19-4907BD-HY-195-1518-00900620-0148A-3,148,6.46,33.37,,26.208,,,,3.0,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,2.04,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,148.0,6.46,6.45,33.37,26.2,182.0,0.39,,,,2.04,,,,,,149.0,,,,,,,,
81,2487,029.0 083.0,19-4904CR-HY-094-2224-02900830-0400A-7,400,5.16,34.004,1.39,26.871,19.5,60.45297,,7.0,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,5.16,5.13,34.004,26.87,121.8,0.73,1.39,19.5,,,,,,,,403.0,,,,,,,,
1096,33837,040.0 050.0,19-5003BD-HY-072-1836-04000500-1000A-7,1000,3.71,34.47,,27.401,,,,7.0,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1000.0,3.71,3.64,34.47,27.4,75.7,1.25,,,,,,,,,,1009.0,,,,,,,,
